product_name,brand,merchant,description,purchase_type,amount,category
Pepperfry Bookshelf,Pepperfry,Urban Ladder,premium bookshelf from Pepperfry,ONLINE,53388.45,Furniture
Nivia Massage Gun,Nivia,Cult Store,wireless massage gun from Nivia,OFFLINE,25034.56,Sports & Fitness
Everyday Personal Care Item,Everyday,Marketplace,wireless personal care item from Everyday,ONLINE,6449.33,Other
boAt Fast Charger,boAt,Reliance Digital,compact fast charger from boAt,ONLINE,4447.81,Gadgets
Urban Ladder Bed Frame,Urban Ladder,IKEA,standard bed frame from Urban Ladder,ONLINE,17401.2,Furniture
Uniqlo Dress,Uniqlo,Myntra,durable dress from Uniqlo,ONLINE,5663.53,Fashion
Tata Toothpaste,Tata,DMart,compact toothpaste from Tata,ONLINE,1142.95,Food & Groceries
Mi Fast Charger,Mi,Croma,new fast charger from Mi,ONLINE,17105.57,Gadgets
Maruti Suzuki Bike Tyre,Maruti Suzuki,Honda Service Center,premium bike tyre from Maruti Suzuki,OFFLINE,33821.66,Vehicles
Tata Household Essentials Pack,Tata,Zepto,compact household essentials pack from Tata,ONLINE,5778.87,Food & Groceries
Aashirvaad Groceries,Aashirvaad,DMart,durable groceries from Aashirvaad,ONLINE,4737.6,Food & Groceries
Fortune Milk,Fortune,Reliance Smart,new milk from Fortune,OFFLINE,4190.58,Food & Groceries
JBL Charging Cable,JBL,Flipkart,new charging cable from JBL,ONLINE,9200.69,Gadgets
McDonald's Biryani,McDonald's,Zomato,durable biryani from McDonald's,ONLINE,3002.11,Food & Beverages
Uniqlo Sunglasses,Uniqlo,Ajio,classic sunglasses from Uniqlo,OFFLINE,17222.43,Fashion
Godrej Interio Study Table,Godrej Interio,IKEA,classic study table from Godrej Interio,ONLINE,55885.18,Furniture
TVS Wiper Blades,TVS,Hyundai Service,daily use wiper blades from TVS,OFFLINE,21628.59,Vehicles
Puma Dress,Puma,Myntra,daily use dress from Puma,ONLINE,7762.17,Fashion
Bosch Dishwasher,Bosch,Home Centre,new dishwasher from Bosch,ONLINE,15752.57,Home Appliances
Adidas Gym Gloves,Adidas,Flipkart,standard gym gloves from Adidas,OFFLINE,19336.96,Sports
LG Vacuum Cleaner,LG,Flipkart,standard vacuum cleaner from LG,OFFLINE,95080.3,Home Appliances
IKEA Dining Table,IKEA,Local Furniture Store,standard dining table from IKEA,ONLINE,69236.13,Furniture
Bosch Induction Cooktop,Bosch,Amazon,standard induction cooktop from Bosch,OFFLINE,10463.46,Home Appliances
Nivia Skipping Rope,Nivia,Flipkart,compact skipping rope from Nivia,OFFLINE,40162.02,Sports
HP Stapler,HP,Local Stationery,premium stapler from HP,OFFLINE,15229.61,Office
Puma Formal Trousers,Puma,Ajio,daily use formal trousers from Puma,OFFLINE,12943.59,Fashion
Portronics Usb Hub,Portronics,Flipkart,classic USB hub from Portronics,OFFLINE,4556.36,Gadgets
Acer Printer,Acer,Flipkart,professional printer from Acer,ONLINE,53987.25,Electronics
Logitech Usb Hub,Logitech,Amazon,compact USB hub from Logitech,OFFLINE,2635.41,Gadgets
Godrej Washing Machine,Godrej,Croma,professional washing machine from Godrej,OFFLINE,75200.65,Home Appliances
HP Television,HP,Flipkart,daily use television from HP,ONLINE,148749.41,Electronics
JBL Smart Bulb,JBL,Reliance Digital,professional smart bulb from JBL,OFFLINE,16638.98,Gadgets
boAt Phone Stand,boAt,Amazon,premium phone stand from boAt,OFFLINE,2725.54,Gadgets
Honda Car Tyre,Honda,Honda Service Center,premium car tyre from Honda,OFFLINE,21315.69,Vehicles
Decathlon Fitness Watch,Decathlon,Cult Store,premium fitness watch from Decathlon,ONLINE,4254.97,Sports & Fitness
Fitbit Massage Gun,Fitbit,Flipkart,new massage gun from Fitbit,OFFLINE,44245.42,Sports & Fitness
Yonex Sports Shoes,Yonex,Decathlon,portable sports shoes from Yonex,OFFLINE,54831.36,Sports
Urban Key Holder,Urban,Local Store,compact key holder from Urban,ONLINE,7595.39,Other
Prime Utility Item,Prime,Local Store,wireless utility item from Prime,ONLINE,2290.39,Other
Puma Gym Gloves,Puma,Nike Store,portable gym gloves from Puma,ONLINE,21813.2,Sports
Decathlon Resistance Tube Set,Decathlon,Cult Store,standard resistance tube set from Decathlon,ONLINE,28114.33,Sports & Fitness
Classmate Whiteboard,Classmate,Office Depot,standard whiteboard from Classmate,OFFLINE,7683.54,Office
Dove Milk,Dove,DMart,premium milk from Dove,OFFLINE,1258.81,Food & Groceries
Anker Usb Microphone,Anker,Flipkart,durable USB microphone from Anker,ONLINE,12407.54,Gadgets
Maruti Suzuki Bike Tyre,Maruti Suzuki,Local Auto Store,professional bike tyre from Maruti Suzuki,ONLINE,47738.84,Vehicles
Hyundai Vehicle Insurance Accessory,Hyundai,Hyundai Service,portable vehicle insurance accessory from Hyundai,ONLINE,60670.59,Vehicles
Uniqlo Jacket,Uniqlo,Ajio,classic jacket from Uniqlo,ONLINE,17488.89,Fashion
Domino's Soft Drink,Domino's,KFC,premium soft drink from Domino's,OFFLINE,3344.08,Food & Beverages
Honda Engine Oil Service,Honda,Hyundai Service,premium engine oil service from Honda,OFFLINE,14511.09,Vehicles
HP Monitor,HP,Samsung Store,durable monitor from HP,OFFLINE,112923.53,Electronics
Amul Wheat Flour,Amul,DMart,classic wheat flour from Amul,ONLINE,4302.73,Food & Groceries
Nilkamal Dining Table,Nilkamal,Home Centre,daily use dining table from Nilkamal,OFFLINE,26909.94,Furniture
Urban Decor Accessory,Urban,Amazon,daily use decor accessory from Urban,OFFLINE,10920.02,Other
Biba Backpack,Biba,Ajio,professional backpack from Biba,OFFLINE,5722.58,Fashion
Mi Smart Plug,Mi,Reliance Digital,portable smart plug from Mi,ONLINE,14291.82,Gadgets
Canon Pen Set,Canon,Local Stationery,professional pen set from Canon,OFFLINE,18251.28,Office
Bosch Water Purifier,Bosch,Flipkart,professional water purifier from Bosch,ONLINE,58871.15,Home Appliances
Haier Air Fryer,Haier,Amazon,wireless air fryer from Haier,OFFLINE,67484.43,Home Appliances
H&M Backpack,H&M,Lifestyle,wireless backpack from H&M,OFFLINE,15732.97,Fashion
Samsung Induction Cooktop,Samsung,Flipkart,durable induction cooktop from Samsung,ONLINE,82496.08,Home Appliances
Fortune Detergent,Fortune,Blinkit,standard detergent from Fortune,ONLINE,5290.18,Food & Groceries
Puma Gym Gloves,Puma,Flipkart,durable gym gloves from Puma,OFFLINE,12771.24,Sports
Nestle Eggs,Nestle,Zepto,durable eggs from Nestle,OFFLINE,800.57,Food & Groceries
Nestle Household Essentials Pack,Nestle,Reliance Smart,standard household essentials pack from Nestle,OFFLINE,4413.36,Food & Groceries
Fortune Groceries,Fortune,Local Grocery,wireless groceries from Fortune,ONLINE,2841.9,Food & Groceries
Dove Bread,Dove,DMart,professional bread from Dove,ONLINE,3551.72,Food & Groceries
Classmate Office Supplies Pack,Classmate,Reliance Smart,daily use office supplies pack from Classmate,OFFLINE,16888.35,Office
Godrej Interio Shoe Cabinet,Godrej Interio,Local Furniture Store,compact shoe cabinet from Godrej Interio,ONLINE,55176.97,Furniture
Generic Key Holder,Generic,Amazon,premium key holder from Generic,OFFLINE,1323.5,Other
Boldfit Fitness Watch,Boldfit,Flipkart,standard fitness watch from Boldfit,ONLINE,13701.69,Sports & Fitness
Haier Water Purifier,Haier,Home Centre,durable water purifier from Haier,ONLINE,87962.87,Home Appliances
Tata Car Floor Mats,Tata,Tata Motors,compact car floor mats from Tata,OFFLINE,80806.42,Vehicles
Nivia Cycling Helmet,Nivia,Amazon,portable cycling helmet from Nivia,ONLINE,18033.42,Sports
Boldfit Exercise Mat,Boldfit,Amazon,durable exercise mat from Boldfit,OFFLINE,33297.86,Sports & Fitness
Dove Wheat Flour,Dove,Zepto,standard wheat flour from Dove,ONLINE,3735.97,Food & Groceries
Logitech Fitness Band,Logitech,Croma,professional fitness band from Logitech,OFFLINE,16826.5,Gadgets
Yonex Cycling Helmet,Yonex,Nike Store,new cycling helmet from Yonex,ONLINE,32780.46,Sports
Pepperfry Coffee Table,Pepperfry,IKEA,wireless coffee table from Pepperfry,OFFLINE,42967.99,Furniture
Wakefit Side Table,Wakefit,Pepperfry,classic side table from Wakefit,ONLINE,76440.6,Furniture
Kokuyo Office Supplies Pack,Kokuyo,Office Depot,classic office supplies pack from Kokuyo,ONLINE,6181.04,Office
Cult Adjustable Dumbbell Set,Cult,Cult Store,portable adjustable dumbbell set from Cult,OFFLINE,23791.6,Sports & Fitness
Mi Wireless Charger,Mi,Croma,compact wireless charger from Mi,OFFLINE,17407.2,Gadgets
Canon Whiteboard,Canon,Reliance Smart,classic whiteboard from Canon,ONLINE,8898.03,Office
Whirlpool Electric Kettle,Whirlpool,Flipkart,portable electric kettle from Whirlpool,OFFLINE,9896.42,Home Appliances
Cafe Coffee Day Pizza,Cafe Coffee Day,KFC,classic pizza from Cafe Coffee Day,ONLINE,854.42,Food & Beverages
Portronics Power Bank,Portronics,Mi Store,classic power bank from Portronics,OFFLINE,10550.83,Gadgets
Tata Cooking Oil,Tata,Reliance Smart,durable cooking oil from Tata,ONLINE,3401.38,Food & Groceries
Logitech Fitness Band,Logitech,Amazon,daily use fitness band from Logitech,OFFLINE,11182.87,Gadgets
Prime Key Holder,Prime,Flipkart,new key holder from Prime,OFFLINE,1095.05,Other
Noise Wireless Charger,Noise,Reliance Digital,daily use wireless charger from Noise,OFFLINE,16483.65,Gadgets
W Winter Sweater,W,Ajio,compact winter sweater from W,ONLINE,5197.06,Fashion
Aashirvaad Milk,Aashirvaad,Blinkit,durable milk from Aashirvaad,ONLINE,452.04,Food & Groceries
Everyday Travel Accessory,Everyday,Marketplace,standard travel accessory from Everyday,OFFLINE,991.07,Other
Nivia Pull Up Bar,Nivia,Flipkart,professional pull up bar from Nivia,ONLINE,11081.87,Sports & Fitness
Decathlon Protein Shaker,Decathlon,Amazon,new protein shaker from Decathlon,OFFLINE,16236.01,Sports & Fitness
H&M Sneakers,H&M,Ajio,professional sneakers from H&M,OFFLINE,8254.05,Fashion
H&M Jeans,H&M,Ajio,professional jeans from H&M,OFFLINE,13250.45,Fashion
Nivia Treadmill,Nivia,Nike Store,standard treadmill from Nivia,OFFLINE,42651.48,Sports
Biba Jacket,Biba,Shoppers Stop,wireless jacket from Biba,OFFLINE,24238.88,Fashion
Mahindra Wiper Blades,Mahindra,Local Auto Store,wireless wiper blades from Mahindra,ONLINE,82806.5,Vehicles
Godrej Refrigerator,Godrej,Croma,durable refrigerator from Godrej,OFFLINE,40585.73,Home Appliances
Dove Shampoo,Dove,Reliance Smart,premium shampoo from Dove,ONLINE,5312.11,Food & Groceries
Godrej Interio Storage Cabinet,Godrej Interio,Home Centre,portable storage cabinet from Godrej Interio,ONLINE,12336.87,Furniture
Britannia Toothpaste,Britannia,Local Grocery,daily use toothpaste from Britannia,OFFLINE,5335.04,Food & Groceries
Mi Router,Mi,Reliance Digital,daily use router from Mi,ONLINE,1100.79,Gadgets
W Cotton Shirt,W,Ajio,durable cotton shirt from W,ONLINE,22139.57,Fashion
Pepperfry Wardrobe,Pepperfry,IKEA,classic wardrobe from Pepperfry,ONLINE,67792.03,Furniture
Puma Sunglasses,Puma,Myntra,classic sunglasses from Puma,ONLINE,25776.46,Fashion
Fitbit Gym Bench,Fitbit,Fitness Store,premium gym bench from Fitbit,OFFLINE,9024.39,Sports & Fitness
Haier Vacuum Cleaner,Haier,Amazon,professional vacuum cleaner from Haier,ONLINE,47149.51,Home Appliances
HP Wireless Headphones,HP,Amazon,wireless wireless headphones from HP,OFFLINE,146232.08,Electronics
Samsung Microwave Oven,Samsung,Amazon,standard microwave oven from Samsung,ONLINE,56732.03,Home Appliances
Toyota Car Battery,Toyota,Hyundai Service,compact car battery from Toyota,ONLINE,68923.88,Vehicles
Kokuyo Ink Cartridge,Kokuyo,Reliance Smart,durable ink cartridge from Kokuyo,OFFLINE,22828.51,Office
Biba Sunglasses,Biba,Lifestyle,classic sunglasses from Biba,ONLINE,14767.08,Fashion
Subway Biryani,Subway,Swiggy,portable biryani from Subway,OFFLINE,3407.14,Food & Beverages
Urban Ladder Storage Cabinet,Urban Ladder,IKEA,standard storage cabinet from Urban Ladder,ONLINE,35137.65,Furniture
Surf Excel Detergent,Surf Excel,Local Grocery,daily use detergent from Surf Excel,ONLINE,5462.65,Food & Groceries
Hyundai Engine Oil Service,Hyundai,Tata Motors,portable engine oil service from Hyundai,OFFLINE,43762.54,Vehicles
Faber-Castell Printer Paper,Faber-Castell,Office Depot,daily use printer paper from Faber-Castell,ONLINE,9949.55,Office
JBL Wireless Charger,JBL,Croma,portable wireless charger from JBL,OFFLINE,2777.27,Gadgets
Samsung Vacuum Cleaner,Samsung,Flipkart,classic vacuum cleaner from Samsung,OFFLINE,45958.14,Home Appliances
Nilkamal Study Table,Nilkamal,Pepperfry,wireless study table from Nilkamal,OFFLINE,63622.77,Furniture
Classmate Calculator,Classmate,Office Depot,compact calculator from Classmate,OFFLINE,3432.88,Office
Classic Miscellaneous Item,Classic,Amazon,classic miscellaneous item from Classic,ONLINE,2475.76,Other
Adidas Gym Gloves,Adidas,Amazon,standard gym gloves from Adidas,OFFLINE,1440.78,Sports
Fortune Cooking Oil,Fortune,Blinkit,portable cooking oil from Fortune,ONLINE,2091.72,Food & Groceries
Tata Toothpaste,Tata,Local Grocery,compact toothpaste from Tata,OFFLINE,4059.7,Food & Groceries
Nivia Resistance Bands,Nivia,Flipkart,compact resistance bands from Nivia,OFFLINE,44603.45,Sports
Decathlon Football,Decathlon,Nike Store,classic football from Decathlon,ONLINE,59988.35,Sports
McDonald's Restaurant Dinner,McDonald's,Local Cafe,daily use restaurant dinner from McDonald's,OFFLINE,4403.29,Food & Beverages
Bajaj Bike Tyre,Bajaj,Bajaj Auto,durable bike tyre from Bajaj,OFFLINE,19772.22,Vehicles
Surf Excel Eggs,Surf Excel,Reliance Smart,portable eggs from Surf Excel,OFFLINE,584.58,Food & Groceries
HP Ink Cartridge,HP,Reliance Smart,wireless ink cartridge from HP,ONLINE,12237.5,Office
Mi Smart Plug,Mi,Amazon,professional smart plug from Mi,OFFLINE,9896.43,Gadgets
HP Television,HP,Amazon,standard television from HP,ONLINE,119173.04,Electronics
Maruti Suzuki Engine Oil Service,Maruti Suzuki,Hyundai Service,classic engine oil service from Maruti Suzuki,ONLINE,9886.41,Vehicles
TP-Link Power Bank,TP-Link,Flipkart,standard power bank from TP-Link,ONLINE,16549.46,Gadgets
Tata Car Service Package,Tata,Honda Service Center,compact car service package from Tata,OFFLINE,71829.73,Vehicles
Apple Wireless Headphones,Apple,Croma,new wireless headphones from Apple,OFFLINE,1841.63,Electronics
LG Printer,LG,Samsung Store,portable printer from LG,ONLINE,134720.15,Electronics
Whirlpool Washing Machine,Whirlpool,Amazon,compact washing machine from Whirlpool,ONLINE,99754.13,Home Appliances
Nivia Fitness Tracker,Nivia,Cult Store,premium fitness tracker from Nivia,OFFLINE,27816.29,Sports & Fitness
Portronics Fast Charger,Portronics,Croma,wireless fast charger from Portronics,OFFLINE,12517.25,Gadgets
Acer Computer Mouse,Acer,Amazon,new computer mouse from Acer,ONLINE,95315.0,Electronics
HP File Folder,HP,Office Depot,compact file folder from HP,OFFLINE,700.81,Office
Sony Monitor,Sony,Flipkart,standard monitor from Sony,ONLINE,90889.18,Electronics
Local Brand Key Holder,Local Brand,Local Store,daily use key holder from Local Brand,OFFLINE,8921.38,Other
Classic Utility Item,Classic,General Store,compact utility item from Classic,OFFLINE,6511.09,Other
Allen Solly Cotton Shirt,Allen Solly,Lifestyle,portable cotton shirt from Allen Solly,OFFLINE,29869.07,Fashion
Garmin Exercise Bike,Garmin,Fitness Store,classic exercise bike from Garmin,ONLINE,6051.12,Sports & Fitness
Godrej Interio Sofa,Godrej Interio,Urban Ladder,professional sofa from Godrej Interio,OFFLINE,73323.21,Furniture
TVS Car Battery,TVS,Bajaj Auto,new car battery from TVS,OFFLINE,82395.28,Vehicles
Domino's Burger Meal,Domino's,Swiggy,durable burger meal from Domino's,OFFLINE,3762.36,Food & Beverages
Canon File Folder,Canon,Local Stationery,premium file folder from Canon,OFFLINE,19225.05,Office
Yonex Dumbbells,Yonex,Sports Station,portable dumbbells from Yonex,OFFLINE,35674.39,Sports
HP Monitor,HP,Croma,daily use monitor from HP,ONLINE,29941.48,Electronics
Boldfit Massage Gun,Boldfit,Fitness Store,portable massage gun from Boldfit,ONLINE,34737.54,Sports & Fitness
Tata Car Floor Mats,Tata,Bajaj Auto,daily use car floor mats from Tata,ONLINE,10300.74,Vehicles
boAt Power Bank,boAt,Flipkart,standard power bank from boAt,OFFLINE,9147.49,Gadgets
Generic Utility Item,Generic,Amazon,portable utility item from Generic,OFFLINE,6365.06,Other
Puma Basketball,Puma,Sports Station,new basketball from Puma,OFFLINE,46837.82,Sports
Allen Solly Sunglasses,Allen Solly,Lifestyle,wireless sunglasses from Allen Solly,OFFLINE,8257.92,Fashion
Nestle Household Essentials Pack,Nestle,Blinkit,wireless household essentials pack from Nestle,OFFLINE,977.54,Food & Groceries
HP Calculator,HP,Reliance Smart,portable calculator from HP,ONLINE,17401.17,Office
Garmin Fitness Watch,Garmin,Cult Store,professional fitness watch from Garmin,ONLINE,43411.55,Sports & Fitness
Cosco Cricket Bat,Cosco,Amazon,daily use cricket bat from Cosco,OFFLINE,4975.84,Sports
Godrej Interio Shoe Cabinet,Godrej Interio,IKEA,classic shoe cabinet from Godrej Interio,OFFLINE,56562.09,Furniture
Nestle Household Essentials Pack,Nestle,Reliance Smart,wireless household essentials pack from Nestle,ONLINE,702.94,Food & Groceries
Amul Groceries,Amul,BigBasket,daily use groceries from Amul,OFFLINE,1009.63,Food & Groceries
Yonex Resistance Bands,Yonex,Amazon,standard resistance bands from Yonex,OFFLINE,10507.22,Sports
Urban Ladder Sofa,Urban Ladder,Urban Ladder,daily use sofa from Urban Ladder,ONLINE,87655.07,Furniture
Canon Calculator,Canon,Reliance Smart,classic calculator from Canon,ONLINE,23153.99,Office
Canon Marker Set,Canon,Local Stationery,professional marker set from Canon,ONLINE,5309.35,Office
Noise Fitness Band,Noise,Mi Store,wireless fitness band from Noise,OFFLINE,1212.2,Gadgets
Tata Vegetables,Tata,Local Grocery,professional vegetables from Tata,OFFLINE,5838.15,Food & Groceries
Tata Eggs,Tata,Reliance Smart,standard eggs from Tata,OFFLINE,923.02,Food & Groceries
Everyday Utility Item,Everyday,Marketplace,professional utility item from Everyday,OFFLINE,8565.74,Other
Honda Car Battery,Honda,Hyundai Service,classic car battery from Honda,ONLINE,60105.9,Vehicles
Hyundai Bike Service,Hyundai,Local Auto Store,new bike service from Hyundai,OFFLINE,36362.17,Vehicles
Honda Helmet,Honda,Bajaj Auto,standard helmet from Honda,ONLINE,25604.94,Vehicles
IFB Air Fryer,IFB,Flipkart,professional air fryer from IFB,ONLINE,107245.94,Home Appliances
Godrej Electric Kettle,Godrej,Vijay Sales,classic electric kettle from Godrej,ONLINE,10992.35,Home Appliances
Godrej Interio Wardrobe,Godrej Interio,IKEA,compact wardrobe from Godrej Interio,ONLINE,16369.35,Furniture
Starbucks Sandwich,Starbucks,KFC,standard sandwich from Starbucks,OFFLINE,1458.93,Food & Beverages
Toyota Car Tyre,Toyota,Tata Motors,durable car tyre from Toyota,ONLINE,67045.79,Vehicles
Godrej Vacuum Cleaner,Godrej,Vijay Sales,durable vacuum cleaner from Godrej,OFFLINE,90583.45,Home Appliances
Urban Ladder Dining Table,Urban Ladder,Home Centre,daily use dining table from Urban Ladder,ONLINE,58778.6,Furniture
Zara Sneakers,Zara,Nike Store,new sneakers from Zara,ONLINE,22205.58,Fashion
Godrej Room Heater,Godrej,Vijay Sales,portable room heater from Godrej,ONLINE,66422.06,Home Appliances
OnePlus Camera,OnePlus,Vijay Sales,premium camera from OnePlus,OFFLINE,159932.23,Electronics
Fortune Toothpaste,Fortune,Zepto,durable toothpaste from Fortune,OFFLINE,5962.48,Food & Groceries
Canon Stapler,Canon,Local Stationery,compact stapler from Canon,ONLINE,10300.97,Office
Honda Bike Tyre,Honda,Tata Motors,durable bike tyre from Honda,ONLINE,80925.12,Vehicles
McDonald's Sandwich,McDonald's,Swiggy,portable sandwich from McDonald's,ONLINE,2707.57,Food & Beverages
Britannia Toothpaste,Britannia,Zepto,compact toothpaste from Britannia,OFFLINE,961.98,Food & Groceries
Noise Fast Charger,Noise,Amazon,portable fast charger from Noise,OFFLINE,9133.08,Gadgets
Bosch Refrigerator,Bosch,Vijay Sales,standard refrigerator from Bosch,OFFLINE,51007.85,Home Appliances
Staedtler File Folder,Staedtler,Reliance Smart,portable file folder from Staedtler,OFFLINE,10707.51,Office
JBL Wireless Charger,JBL,Reliance Digital,standard wireless charger from JBL,OFFLINE,14646.08,Gadgets
Prime Key Holder,Prime,Amazon,compact key holder from Prime,OFFLINE,5781.25,Other
Apple Television,Apple,Reliance Digital,daily use television from Apple,ONLINE,143988.57,Electronics
Haldiram's Biryani,Haldiram's,Local Cafe,portable biryani from Haldiram's,OFFLINE,4460.68,Food & Beverages
Classic Miscellaneous Purchase,Classic,Flipkart,portable miscellaneous purchase from Classic,ONLINE,5690.2,Other
Britannia Detergent,Britannia,Local Grocery,classic detergent from Britannia,OFFLINE,3607.37,Food & Groceries
Toyota Wiper Blades,Toyota,Local Auto Store,standard wiper blades from Toyota,OFFLINE,23283.04,Vehicles
Puma Jacket,Puma,Nike Store,wireless jacket from Puma,ONLINE,3451.33,Fashion
Staedtler Marker Set,Staedtler,Amazon,professional marker set from Staedtler,ONLINE,16943.79,Office
Decathlon Yoga Mat,Decathlon,Amazon,new yoga mat from Decathlon,OFFLINE,65274.0,Sports
Nivia Protein Shaker,Nivia,Amazon,new protein shaker from Nivia,ONLINE,37951.97,Sports & Fitness
Nivia Adjustable Dumbbell Set,Nivia,Fitness Store,daily use adjustable dumbbell set from Nivia,ONLINE,49451.89,Sports & Fitness
Cafe Coffee Day Beverage,Cafe Coffee Day,KFC,durable beverage from Cafe Coffee Day,OFFLINE,137.55,Food & Beverages
Nivia Foam Roller,Nivia,Flipkart,wireless foam roller from Nivia,OFFLINE,22367.37,Sports & Fitness
Nike Cricket Bat,Nike,Nike Store,classic cricket bat from Nike,OFFLINE,29721.56,Sports
Haldiram's Burger Meal,Haldiram's,McDonald's,premium burger meal from Haldiram's,OFFLINE,3452.49,Food & Beverages
Puma Sneakers,Puma,Nike Store,premium sneakers from Puma,ONLINE,11112.33,Fashion
Philips Vacuum Cleaner,Philips,Home Centre,standard vacuum cleaner from Philips,OFFLINE,35617.73,Home Appliances
Everyday Miscellaneous Item,Everyday,Marketplace,wireless miscellaneous item from Everyday,ONLINE,504.51,Other
Haier Vacuum Cleaner,Haier,Croma,new vacuum cleaner from Haier,OFFLINE,107948.47,Home Appliances
Aashirvaad Wheat Flour,Aashirvaad,BigBasket,compact wheat flour from Aashirvaad,OFFLINE,5786.09,Food & Groceries
Dove Vegetables,Dove,DMart,portable vegetables from Dove,ONLINE,3906.94,Food & Groceries
Fitbit Gym Bench,Fitbit,Cult Store,compact gym bench from Fitbit,OFFLINE,43025.57,Sports & Fitness
Subway Burger Meal,Subway,KFC,durable burger meal from Subway,OFFLINE,2684.96,Food & Beverages
JBL Power Bank,JBL,Reliance Digital,compact power bank from JBL,ONLINE,8750.84,Gadgets
Boldfit Protein Shaker,Boldfit,Fitness Store,portable protein shaker from Boldfit,ONLINE,12918.6,Sports & Fitness
Mahindra Engine Oil Service,Mahindra,Honda Service Center,daily use engine oil service from Mahindra,OFFLINE,60092.55,Vehicles
Decathlon Adjustable Dumbbell Set,Decathlon,Flipkart,portable adjustable dumbbell set from Decathlon,OFFLINE,52325.18,Sports & Fitness
Cosco Resistance Bands,Cosco,Decathlon,durable resistance bands from Cosco,ONLINE,2103.47,Sports
Tata Wiper Blades,Tata,Hyundai Service,compact wiper blades from Tata,OFFLINE,48384.33,Vehicles
Aashirvaad Vegetables,Aashirvaad,Local Grocery,professional vegetables from Aashirvaad,OFFLINE,1597.21,Food & Groceries
Toyota Brake Pads,Toyota,Hyundai Service,daily use brake pads from Toyota,ONLINE,34103.41,Vehicles
Nestle Bread,Nestle,DMart,premium bread from Nestle,ONLINE,1279.15,Food & Groceries
Adidas Jacket,Adidas,Ajio,premium jacket from Adidas,OFFLINE,8361.86,Fashion
Staedtler Printer Paper,Staedtler,Reliance Smart,standard printer paper from Staedtler,ONLINE,2602.53,Office
Cosco Cycling Helmet,Cosco,Amazon,standard cycling helmet from Cosco,ONLINE,3006.61,Sports
Adidas Handbag,Adidas,Lifestyle,daily use handbag from Adidas,OFFLINE,8163.19,Fashion
KFC Cafe Breakfast,KFC,Starbucks,portable cafe breakfast from KFC,ONLINE,2386.91,Food & Beverages
Boldfit Fitness Tracker,Boldfit,Fitness Store,premium fitness tracker from Boldfit,ONLINE,50535.94,Sports & Fitness
Biba Winter Sweater,Biba,Nike Store,wireless winter sweater from Biba,OFFLINE,1129.91,Fashion
Puma Jacket,Puma,Nike Store,premium jacket from Puma,ONLINE,22469.38,Fashion
Local Brand Utility Item,Local Brand,Local Store,premium utility item from Local Brand,ONLINE,2262.84,Other
Pilot Notebook,Pilot,Flipkart,classic notebook from Pilot,ONLINE,17968.7,Office
Bosch Dishwasher,Bosch,Vijay Sales,new dishwasher from Bosch,OFFLINE,108823.08,Home Appliances
IKEA Coffee Table,IKEA,IKEA,professional coffee table from IKEA,OFFLINE,94946.82,Furniture
Yonex Gym Gloves,Yonex,Decathlon,professional gym gloves from Yonex,ONLINE,17864.02,Sports
Amul Detergent,Amul,Blinkit,portable detergent from Amul,OFFLINE,2523.91,Food & Groceries
Nivia Badminton Racket,Nivia,Nike Store,compact badminton racket from Nivia,ONLINE,13430.21,Sports
Fitbit Foam Roller,Fitbit,Cult Store,portable foam roller from Fitbit,OFFLINE,2039.77,Sports & Fitness
Puma Basketball,Puma,Amazon,classic basketball from Puma,OFFLINE,57844.67,Sports
TVS Brake Pads,TVS,Honda Service Center,durable brake pads from TVS,ONLINE,73792.11,Vehicles
Puma Skipping Rope,Puma,Nike Store,standard skipping rope from Puma,OFFLINE,73194.0,Sports
Godrej Washing Machine,Godrej,Reliance Digital,premium washing machine from Godrej,ONLINE,36281.7,Home Appliances
Local Brand Key Holder,Local Brand,Amazon,classic key holder from Local Brand,OFFLINE,6918.48,Other
Portronics Phone Stand,Portronics,Flipkart,standard phone stand from Portronics,ONLINE,11197.48,Gadgets
Faber-Castell Pen Set,Faber-Castell,Reliance Smart,wireless pen set from Faber-Castell,ONLINE,1299.06,Office
LG Air Fryer,LG,Croma,wireless air fryer from LG,ONLINE,34413.57,Home Appliances
Urban Decor Accessory,Urban,Amazon,professional decor accessory from Urban,OFFLINE,1408.88,Other
Godrej Air Fryer,Godrej,Croma,portable air fryer from Godrej,ONLINE,30512.76,Home Appliances
Decathlon Fitness Tracker,Decathlon,Decathlon,daily use fitness tracker from Decathlon,ONLINE,36215.5,Sports & Fitness
Amul Wheat Flour,Amul,DMart,new wheat flour from Amul,OFFLINE,5339.98,Food & Groceries
HP Camera,HP,Vijay Sales,compact camera from HP,ONLINE,41302.72,Electronics
Amul Bread,Amul,BigBasket,durable bread from Amul,ONLINE,5716.82,Food & Groceries
Amul Groceries,Amul,BigBasket,classic groceries from Amul,ONLINE,3287.66,Food & Groceries
Anker Smart Plug,Anker,Mi Store,premium smart plug from Anker,ONLINE,16464.17,Gadgets
Faber-Castell Pen Set,Faber-Castell,Flipkart,professional pen set from Faber-Castell,OFFLINE,18749.92,Office
Nilkamal Shoe Cabinet,Nilkamal,Pepperfry,portable shoe cabinet from Nilkamal,OFFLINE,56227.5,Furniture
Pilot Calculator,Pilot,Reliance Smart,daily use calculator from Pilot,ONLINE,13915.02,Office
